"location";"total_robbery";"total_street_robbery";"total_injury";"total_agg_assault";"total_threat";"total_theft";"total_car";"total_from_car";"total_bike";"total_bulgary";"total_fire";"total_arson";"total_damage";"total_graffiti";"total_drugs"
"Barstrae";118.0;68.0;988.0;205.0;435.0;6584.0;184.0;1301.0;1403.0;352.0;35.0;15.0;951.0;168.0;236.0
"Hellersdorf-Ost";181.0;105.0;2084.0;389.0;675.0;4586.0;233.0;739.0;791.0;98.0;167.0;48.0;1956.0;423.0;303.0
"Siemensstadt";138.0;62.0;1175.0;260.0;429.0;6544.0;265.0;1084.0;788.0;264.0;67.0;32.0;1179.0;259.0;160.0
"Buckow";137.0;62.0;1415.0;320.0;699.0;5040.0;301.0;1495.0;320.0;610.0;99.0;44.0;1742.0;207.0;182.0
"Altglienicke";66.0;39.0;1307.0;233.0;540.0;5459.0;543.0;1345.0;735.0;579.0;86.0;30.0;1217.0;200.0;185.0
"Heerstrasse";125.0;70.0;1292.0;413.0;306.0;5427.0;284.0;1385.0;507.0;635.0;41.0;18.0;1234.0;404.0;268.0
"Alt-Hohenschnhausen Nord";94.0;39.0;1252.0;267.0;393.0;6487.0;207.0;939.0;427.0;462.0;64.0;29.0;1225.0;189.0;165.0
"Frankfurter Allee Sd";135.0;68.0;946.0;245.0;236.0;5801.0;266.0;827.0;958.0;135.0;76.0;41.0;1052.0;258.0;536.0
"Mahlsdorf";50.0;26.0;729.0;131.0;357.0;5420.0;244.0;1014.0;863.0;763.0;31.0;13.0;1313.0;364.0;115.0
"Blankenburg/Heinersdorf/Mrchenland";53.0;17.0;699.0;155.0;297.0;6207.0;162.0;1042.0;966.0;466.0;79.0;40.0;983.0;143.0;96.0
"Dammvorstadt";98.0;55.0;1187.0;319.0;298.0;5679.0;95.0;441.0;1061.0;96.0;71.0;38.0;1274.0;267.0;371.0
"Bezirk (Ch-Wi), nicht zuzuordnen";174.0;140.0;768.0;226.0;371.0;5742.0;282.0;1356.0;532.0;1.0;29.0;14.0;898.0;473.0;258.0
"Weiensee Ost";84.0;39.0;1068.0;193.0;389.0;4925.0;205.0;937.0;659.0;240.0;99.0;49.0;1356.0;267.0;270.0
"Friedrichshagen";56.0;26.0;721.0;164.0;263.0;4916.0;262.0;699.0;1729.0;142.0;59.0;21.0;1203.0;307.0;78.0
"Johannisthal";84.0;43.0;867.0;165.0;444.0;4913.0;328.0;1076.0;704.0;377.0;85.0;29.0;1184.0;196.0;148.0
"Friedrichsfelde Nord";105.0;63.0;1149.0;258.0;366.0;4834.0;376.0;980.0;443.0;230.0;81.0;22.0;1175.0;290.0;165.0
